ARAYES SHRAK | ARAYES SHRAK - yes
Baked Eggs with Feta, Harissa Tomato Sauce & Coriander | Baked Eggs with Feta, Harissa Tomato Sauce & Coriander - yes
CHLEBEK Z WARZYWAMI I BOCZKIEM | CHLEBEK Z WARZYWAMI I BOCZKIEM - yes
FINNISH MILK FLATBREADS + FINNISH POTATO FLATBREADS | DAT FLATBREADS + FINNISH MILK FLATBREADS + FINNISH POTATO FLATBREADS - yes
Faszerowana papryka | Faszerowana papryka PAPRIKA GYERAN-JJIM 파프리카 계란찜 - yes
KREM SELEROWY Z GORGONZOLA | KREM SELEROWY Z GORGONZOLA - yes
LABANEH BALLS WITH NIGELLA SEEDS | LABANEH BALLS WITH NIGELLA SEEDS - yes
MIXED SEED CRISPBREAD | MIXED SEED CRISPBREAD - yes
OVERNIGHT STRAIGHT PIZZA DOUGH | OVERNIGHT STRAIGHT PIZZA DOUGH - yes
SAFFRON WHEAT BUNS WITH QUARK : COTTAGE CHEESE (VARIATION D) | SAFFRON WHEAT BUNS WITH QUARK / COTTAGE CHEESE (VARIATION D) - yes
Smażona zielona fasolka |  - no
