ARAYES SHRAK | ARAYES SHRAK - yes
Baked Eggs with Feta, Harissa Tomato Sauce & Coriander | Baked Eggs with Feta, Harissa Tomato Sauce & Coriander - yes
CHLEBEK Z WARZYWAMI I BOCZKIEM | CHLEBEK Z WARZYWAMI I BOCZKIEM - yes
FINNISH MILK FLATBREADS + FINNISH POTATO FLATBREADS | FINNISH MILK FLATBREADS + FINNISH POTATO FLATBREADS - yes
Faszerowana papryka | Faszerowana papryka PAPRIKA GYERAN-JJIM 파프리카 계란찜 - yes
KREM SELEROWY Z GORGONZOLA | KREM SELEROWY Z GORGONZOLA - yes
LABANEH BALLS WITH NIGELLA SEEDS | LABANEH BALLS WITH NIGELLA SEEDS - yes
MIXED SEED CRISPBREAD | MIXED SEED CRISPBREAD - yes
OVERNIGHT STRAIGHT PIZZA DOUGH | OVERNIGHT STRAIGHT PIZZA DOUGH - yes
SAFFRON WHEAT BUNS WITH QUARK : COTTAGE CHEESE (VARIATION D) | SAFFRON WHEAT BUNS WITH QUARK / COTTAGE CHEESE (VARIATION D) - yes
Smażona zielona fasolka | Smażona zielona fasolka - yes
Babka Drożdżowa | CIASTA DROŻDŻOWE - STR 89 + BABKA DROŻDŻOWA - yes
Baked Cod with Herbs | BAKED COD WITH HERBS - yes
Baked Sea Bass with Lemon | BAKED SEA BASS WITH LEMON - yes
Baked Tomato Risotto with Basil | BAKED TOMATO RISOTTO WITH BASIL - yes
Barszcz Czerwony | BARSZCZ CZERWONY - yes
Beet Arugula Salad | BEET ARUGULA SALAD - yes
Beet and Goat Cheese Salad | BEET AND GOAT CHEESE SALAD - yes
Berry Tart | BERRY TART - yes
Bigos Jesienny z Grzybami | BIGOS JESIENNY Z GRZYBAMI - yes
Bigos Letni | Bigos Letni - yes
Bigos Myśliwski | BIGOS MYŚLIWSKI - yes
Bigos z Grzybami | Bigos z Grzybami - yes
Bigos Śliwkowy z Bekonem | Bigos Śliwkowy z Bekonem - yes
Blackberry Fool | BLACKBERRY FOOL - yes
Braised Cod with White Wine |  - no
Brussels Sprouts and Bacon Soup | Brussels Sprouts and Bacon Soup - yes
Butternut Squash Risotto | BUTTERNUT SQUASH RISOTTO - yes
Cardamom Chai Tea | CARDAMOM CHAI TEA - yes
Carrot and Ginger Soup | CARROT AND GINGER SOUP - yes
Cheesecake z Jeżynami | Cheesecake z Jeżynami - yes
Cherry Jam | Cherry Jam - yes
Chleb Pszenny Razowy | CHLEB PSZENNY RAZOWY - yes
Chleb Żytni | CHLEB ŻYTNI - yes
Chocolate Chip Cookies | CHOCOLATE CHIP COOKIES - yes
Chrust | Chrust - yes
Cranberry Orange Tart | CRANBERRY ORANGE TART - yes
Creamy Mushroom Pasta | CREAMY MUSHROOM PASTA - yes
Crispy Brussels Sprouts with Garlic | CRISPY BRUSSELS SPROUTS WITH GARLIC - yes
Drożdże Sernik | Podaw4ć letni lub chłodny. - no
Garlic Mushroom Risotto | GARLIC MUSHROOM RISOTTO - yes
Golonka | Golonka - yes
Grilled Portobello Mushrooms | GRILLED PORTOBELLO MUSHROOMS - yes
Grilled Salmon with Dill | GRILLED SALMON WITH DILL - yes
HERB ROASTED PORK WITH MUSHROOMS : PORK WITH CARAMELIZED ONIONS (VARIATION) | HERB ROASTED PORK WITH MUSHROOMS : PORK WITH CARAMELIZED ONIONS (VARIATION) - yes
Halibut with Saffron Cream Sauce | In same pan, sauté shallots until softened. - no
Herb Crusted Lamb Chops | HERB CRUSTED LAMB CHOPS - yes
Kielbasa z Cebulą | KIELBASA Z CEBULĄ - yes
Kluski Owocowe | Kluski Owocowe - yes
Kluski Śląskie ze Szpinakiem | KLUSKI ŚLĄSKIE ZE SZPINAKIEM - yes
Kompot Jabłkowy | KOMPOT JABŁKOWY - yes
